ticker,company,sector,market_cap,trailing_pe,forward_pe,peg_ratio,price_to_book,dividend_yield,short_percent,analyst_count,beta,gross_margin,operating_margin,net_margin,margin_stability,margin_trend,revenue_cagr_3y,revenue_cagr_5y,revenue_acceleration,earnings_cagr_3y,earnings_cagr_5y,interest_coverage,earnings_consistency,revenue_stability,debt_to_equity,roe,roic,altman_z,book_value_growth,fcf,fcf_yield,reinvestment_rate,drawdown_52w,price_vs_200ma,current_price,pe_gap,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,combs_score,combs_style_flag,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,weschler_score,weschler_style_flag,combined_score
MMM,3M Company,Industrials,74735370240,27.608862,15.159048,1.54,22.904411,2.18,0.0153,17.0,1.09,0.39911014911014914,0.19203944203944204,0.13027096360429694,0.3002770308022538,0.11880065147333219,-0.01570080136859997,,0.016600212552854026,-0.17448114360126787,,5.064482029598309,0.0,0.9703171170771371,2.6801361122926415,0.6911952360697575,0.3024603545044431,4.107243041323886,-0.31644740380523395,1396000000.0,0.018679241107884822,0.08333333333333333,-0.15982903933533946,-0.07814584611265825,143.2899932861328,-0.4509354279071698,9.72267134181608,10.488206220842276,17.02704562888025,12.339068825910932,49.57699201744953,False,13.030961766619464,5.0474305971400515,9.198755050343102,11.678470456182904,7.977689179456881,46.9333070497424,False,48.25514953359597
AOS,A. O. Smith Corporation,Industrials,8076756992,15.626666,14.021185,1.3,4.300917,2.42,0.063200004,10.0,1.217,0.38833481280350896,0.19006840373870817,0.14260351939846483,0.008829370496139218,0.014597560082777017,0.006729784443180398,0.006729784443180398,0.012175552405742501,0.3233174450496099,0.3233174450496099,53.925925925925924,0.6684609549255758,0.9888790668341235,0.10339074273412271,0.29397201291711517,0.296466804980305,7.679783783369321,0.02060950307478482,546000000.0,0.06760139008030217,0.018484674429533707,-0.2444466107452828,-0.13150911575650676,58.599998474121094,-0.10273982946842282,13.87463749518026,6.617783339801826,17.9997590623275,16.691970310391362,55.184150207700945,False,11.387759875149365,13.7416262664974,14.554583787596997,16.197610323604444,10.491937008997487,66.37351726184569,False,60.778833734773315
ABT,Abbott Laboratories,Health Care,146869682176,23.619047,13.905128,1.25,2.8211048,2.99,0.0139,25.0,0.647,0.5641806533116765,0.18166847139505504,0.14717560007218913,0.01472355486025797,-0.009887664494803605,0.005127944169646348,,0.010786608874606925,-0.020064290219131475,,16.33468559837728,0.5653815712488455,0.9555945176261265,0.26587377709572224,0.12514866679455208,0.10798596266008519,4.383592423758732,0.12424885621929249,7395000000.0,0.050350759193025736,0.1153447031221801,-0.3673809757131795,-0.2575676220112731,84.31999969482422,-0.41127480715034775,14.90927125506073,12.581671326621944,13.344281848780886,12.575278340080972,53.41050277054453,False,13.091864722466735,4.438520204076744,15.702967677804144,12.0065365038612,11.871864259130682,57.1117533673395,False,55.261128068942014
ABBV,AbbVie Inc.,Health Care,356494049280,98.79903,12.4347105,0.57,-108.945946,3.43,0.0137,30.0,0.305,0.7023544800523218,0.32849901896664485,0.06909744931327665,0.05766212287575215,0.004421436026623482,0.017525049181538188,0.017525049181538188,0.04855285665020486,-0.29057223955094535,-0.29057223955094535,6.944694089180781,0.41253800093055415,0.9495831356251236,-20.64097859327217,-1.2923547400611621,0.21851105292402662,1.9601216708719913,,17816000000.0,0.049975588753816295,0.1685742315238718,-0.12434465633885805,-0.0711618807797909,201.5500030517578,-0.8741413706187197,14.999201730287256,15.55350169896953,13.424660670224647,12.725244601889338,56.70260870137077,False,12.720434085583918,10.281744592684854,14.22257984351953,11.885527055174263,7.222918304128716,56.333203881091286,False,56.51790629123103
ACN,Accenture plc,Information Technology,111036809216,14.788525,12.103355,1.27,3.5542333,3.61,0.0327,26.0,1.071,0.31913952808418106,0.15559817402376822,0.11020675921455172,0.0014841731899169174,0.003519487528320292,0.04193654176414818,,0.0613621898821254,0.03741924615215764,,47.43273172759292,0.9464716686542669,0.9480982412645717,0.2623096332714717,0.24613954870207658,0.29633227005244833,,0.12165606566177778,10874360000.0,0.09793473062474353,0.008612219914185667,-0.388202991926187,-0.21106710381875457,180.4199981689453,-0.1815711844149433,11.96597557595913,15.397911336760314,18.042508242649376,14.611040823211876,60.01743597858069,False,12.913612376201836,8.268106182184006,16.54838308856538,17.57694561678073,12.00550708762609,67.31255435135805,True,63.66499516496937
ADBE,Adobe Inc.,Information Technology,102278766592,14.74592,9.589821,0.72,8.985795,0.0,0.040700004,34.0,1.417,0.8926753334174765,0.36627540073204595,0.2999705498758888,0.011163507873147493,0.01991620500331709,0.10522339932516123,0.10522339932516123,-0.0027132957695531895,0.14450025727074034,0.14450025727074034,33.10266159695818,0.8243075164986708,0.8706562966849302,0.5719693710745934,0.6134388712036479,0.5535157478882614,7.39711604789551,-0.061277988805537364,9852000000.0,0.09632497856862697,0.1881862930708065,-0.3459470892976761,-0.1614972944591932,253.0399932861328,-0.34966275417200143,22.50624301137459,15.577728846047222,22.76835989275239,18.895917678812413,79.74824942898661,True,16.600716105136478,5.43391075235335,15.114702911562878,14.458873208979675,9.68505886104617,61.29326183907855,False,70.52075563403258
AMD,"Advanced Micro Devices, Inc.",Information Technology,742233079808,151.73,35.280003,1.25,11.777231,0.0,0.022,47.0,2.399,0.4951644100580271,0.10664280146655504,0.12514795461762754,0.03810775525020074,0.05308574879929518,0.13643599335368428,,0.20647317100196683,0.4864092188805236,,28.198473282442748,0.23171777426467832,0.7951038683888165,0.0610644613406562,0.06881061604152447,0.06175320705195654,33.00501573948875,0.04789196615063496,6735000000.0,0.009073969057997526,0.2616992407402061,0.0,0.8486524907317271,455.19000244140625,-0.7674816911619324,10.071527195392326,22.754399895448028,7.726601155336206,9.720479082321186,50.27300732849774,False,10.963982122886023,2.8170622050827565,1.9246136086705568,6.7473256400406765,8.339155953649037,30.79213953032905,False,40.5325734294134
AES,The AES Corporation,Utilities,10219549696,7.463542,5.998853,0.81,2.312036,4.91,0.0336,9.0,0.957,0.1807406196354124,0.16103981034905585,0.07438894792773645,0.011294624648617082,-0.024503504226516787,-0.010249740650209005,,0.027121140993568993,,,1.400142146410803,0.0,0.9819139464115998,7.358355894659119,0.22397243416194929,0.2064051404833528,0.44570668827973753,0.1857608239848254,-1623000000.0,-0.15881325971096877,0.48467260688302133,-0.16049253180482026,0.019530315648777087,14.329999923706055,-0.19624583073291474,8.765419016290727,8.103886640317457,14.585102877774716,10.778129217273953,42.23253775165685,False,14.024697972878155,10.725923854463579,9.115869300327068,9.8541559579507,12.997860990240767,56.71850807586027,False,49.47552291375856
AFL,Aflac Incorporated,Financials,57566191616,12.9257145,14.807891,1.18,1.9272058,2.16,0.020499999,14.0,0.619,,,0.2100835494093921,,,-0.03229187547440737,-0.03229187547440737,-0.10792407965036874,-0.06201264378387206,-0.06201264378387206,,0.8370145553610152,0.9541203453852899,0.285147507629705,0.12363513055272973,,,0.13554696822119738,2555000000.0,0.044383689945017325,0.0,-0.005014513099375969,0.028373864073582746,113.0999984741211,0.14561489037994765,13.870000000000001,6.3157014090754275,10.565112078996703,12.5,43.25081348807213,False,9.807527608744648,8.874438788953029,8.917330693259796,12.757983039884444,7.774445225266805,48.13172535610872,False,45.69126942209043
A,A,Health Care,32674480128,25.523178,17.565716,1.21,4.7315435,0.88,0.018,16.0,1.219,0.5243235463442717,0.21286701208981001,0.18753598157743234,0.017191905013790656,-0.02340635239617128,0.004844098070605929,0.004844098070605929,0.1145517045565671,0.012858925982169422,0.012858925982169422,13.205357142857142,0.9768602329294981,0.9719744698523541,0.4975522919448153,0.19329476338822132,0.16168463920544404,4.586797282938019,0.08312765919867138,1152000000.0,0.0352568731158727,0.12406447898675878,-0.24370721053378058,-0.10088795127398506,115.62000274658203,-0.3117739491531972,15.825777243589743,12.368488273545976,14.781419924911694,12.863529014844802,55.839214456892215,False,11.572467373416508,6.817562097295743,12.380366991598795,16.397548556796572,7.261235509474221,54.42918052858184,False,55.13419749273703
