ticker,company,sector,market_cap,combs_score,weschler_score,combined_score,trailing_pe,roic,fcf_yield,drawdown_52w,combs_style_flag,weschler_style_flag,timestamp
ADBE,Adobe Inc.,Information Technology,100079919104,79.71097819363564,61.77875213896273,70.74486516629918,14.428905,0.5535157478882614,0.09844132657383647,-0.3600082635996796,True,False,2026-05-16 11:41:54
PAYX,"Paychex, Inc.",Industrials,32797947904,69.72363514570333,66.77434094082352,68.24898804326342,20.207504,0.22355595763540909,0.05210996751999719,-0.3448064043161421,True,False,2026-05-16 11:41:54
ZTS,Zoetis Inc.,Health Care,31115112448,72.13085936315241,59.75287026316677,65.94186481315958,12.167213,0.2789299117151491,0.07337270607057521,-0.5196816127365965,True,True,2026-05-16 11:41:54
FICO,Fair Isaac Corporation,Information Technology,25477296128,65.06814390055096,66.66549157527614,65.86681773791355,34.84269,0.6361105233468709,0.029021918035775637,-0.39900764278399065,True,False,2026-05-16 11:41:54
ADP,"Automatic Data Processing, Inc.",Industrials,85735006208,68.3757675175189,62.62259800620727,65.49918276186308,20.007462,0.3492400202180811,0.05123578097542744,-0.29311634157900796,True,False,2026-05-16 11:41:54
INTU,Intuit Inc.,Information Technology,109361717248,69.57123898640171,60.014467404822454,64.79285319561208,25.56929,0.16843122632401483,0.05562275495551663,-0.4969748156636324,True,False,2026-05-16 11:41:54
MSFT,Microsoft Corporation,Information Technology,3134205460480,74.96441624573254,53.57159823524729,64.26800724048991,25.129244,0.28320463090237286,0.022848214931331545,-0.20455299945997765,True,False,2026-05-16 11:41:54
CHTR,"Charter Communications, Inc.",Communication Services,19811561472,58.06543851279342,70.3561028163628,64.21077066457812,3.7968075,0.09140515178313433,0.223001099950856,-0.6567353962253785,False,False,2026-05-16 11:41:54
MA,Mastercard Incorporated,Financials,436667154432,83.28809792977407,44.876878626040735,64.0824882779074,28.566477,0.9722416892840265,0.037632782390916074,-0.16604099791967888,True,False,2026-05-16 11:41:54
ACN,Accenture plc,Information Technology,103897767936,59.921742620697984,68.23564364890385,64.07869313480091,13.826372,0.29633227005244833,0.10466403866056583,-0.42753809759358563,False,True,2026-05-16 11:41:54
GDDY,GoDaddy Inc.,Information Technology,11543490560,61.688696272863,65.78079680163808,63.73474653725054,13.816165,0.32587047098604527,0.13648384704877342,-0.5158280490545585,True,False,2026-05-16 11:41:54
FDS,FactSet Research Systems Inc.,Financials,7744529408,63.65232656767972,63.10709774214065,63.37971215491019,13.670739,0.1818713425791221,0.07972776233016533,-0.5189647449992044,True,False,2026-05-16 11:41:54
CPAY,"Corpay, Inc.",Financials,21453744128,71.1397954576677,55.55869724877625,63.34924635322197,19.64273,0.11824423401455096,0.06055563039481031,-0.010819107524106789,True,False,2026-05-16 11:41:54
RMD,ResMed Inc.,Health Care,29283983360,67.76458579369586,57.54668672198675,62.65563625784131,19.44894,0.2511360724500488,0.05637709800966094,-0.2573809177141688,True,False,2026-05-16 11:41:54
MO,"Altria Group, Inc.",Consumer Staples,122052337664,65.09460626553226,59.72183422337576,62.408220244454014,15.258872,0.5021596816968895,0.07434515531345227,0.0,True,False,2026-05-16 11:41:54
